id,name,brand,category,price,specs,description
2001,Máy lạnh Panasonic Inverter 1 HP CU/CS-PU9ZKH-8,PANASONIC,may-lanh,10.590.000đ,Công suất 1 HP - Gas R32 - Công nghệ Inverter tiết kiệm điện - Lọc bụi Nanoe-G,Phù hợp cho phòng ngủ nhỏ dưới 15m2 chạy siêu êm giúp ngủ ngon sâu giấc.
2002,Máy lạnh Panasonic Inverter 1.5 HP CU/CS-PU12ZKH-8,PANASONIC,may-lanh,13.690.000đ,Công suất 1.5 HP - Gas R32 - Có Inverter - Lọc bụi mịn,Lựa chọn xuất sắc cho phòng khách nhỏ hoặc phòng làm việc từ 15 đến 20m2.
2003,Máy lạnh Daikin Inverter 1 HP FTKB25YVMV,DAIKIN,may-lanh,10.990.000đ,Công suất 1 HP - Inverter - Phin lọc Enzyme Blue khử mùi - Chống ẩm mốc,Dòng máy siêu bền bỉ làm lạnh dễ chịu không bị buốt thích hợp cho nhà có trẻ nhỏ.
2004,Máy lạnh Daikin Inverter 1.5 HP FTKB35YVMV,DAIKIN,may-lanh,13.490.000đ,Công suất 1.5 HP - Inverter tiết kiệm điện - Luồng gió Coanda làm lạnh nhanh,Làm mát đều khắp phòng dung tích 15-20m2 không thổi trực tiếp vào người gây cảm lạnh.
2005,Máy lạnh Casper 1 HP TC-09IS35,CASPER,may-lanh,5.990.000đ,Công suất 1 HP - Có Inverter - Làm lạnh nhanh Turbo - Gas R32,Dòng máy giá rẻ quốc dân làm lạnh cực nhanh phù hợp cho sinh viên hoặc phòng trọ nhỏ dưới 15m2.
2006,Máy lạnh Casper 1.5 HP TC-12IS35,CASPER,may-lanh,7.990.000đ,Công suất 1.5 HP - Có Inverter - Tự làm sạch iClean,Giá bình dân công suất lớn làm mát tốt cho phòng từ 15-20m2 tiết kiệm chi phí đầu tư.
2007,Máy lạnh Toshiba Inverter 1 HP RAS-H10Z1KCVG-V,TOSHIBA,may-lanh,9.490.000đ,Công suất 1 HP - Inverter - Công nghệ chống bám bẩn Magic Coil - Lọc bụi tinh thể bạc,Máy tự làm sạch lá nhôm giúp không khí luôn trong lành và không bị mùi hôi.
2008,Máy lạnh Toshiba Inverter 1.5 HP RAS-H13Z1KCVG-V,TOSHIBA,may-lanh,11.990.000đ,Công suất 1.5 HP - Eco tiết kiệm điện - Magic Coil,Làm lạnh khỏe cho phòng 15-20m2 độ bền cực cao ít hỏng vặt.
2009,Máy lạnh LG Inverter 1 HP V10WIN,LG,may-lanh,9.290.000đ,Công suất 1 HP - Dual Inverter tiết kiệm 70% điện - Kiểm soát năng lượng Energy Ctrl,Tùy chỉnh được công suất máy theo số người trong phòng để tiết kiệm điện tối đa.
2010,Máy lạnh LG Inverter 1.5 HP V13WIN,LG,may-lanh,11.490.000đ,Công suất 1.5 HP - Dual Inverter - Màng lọc sơ cấp chống dị ứng,Phù hợp phòng 15-20m2 máy chạy êm và tối ưu hóa hóa đơn tiền điện cuối tháng.
